car_body_type_Others,car_body_type_Pickup Truck,car_body_type_SUV / Crossover,car_body_type_Sedan,driveline_style_Four-wheel drive,driveline_style_Front-wheel drive,driveline_style_Rear-wheel drive,transmission_type_Automatic Select Shift,transmission_type_Manual,fuel_type_Diesel fuel,fuel_type_E85,fuel_type_Gasoline,market_segment_Luxury
True,False,False,False,False,False,False,True,False,False,False,True,True
True,False,False,False,False,True,False,True,False,False,False,True,True
True,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,False,False,False,False,True,False,False,False,True,True
True,False,False,False,False,False,False,False,True,False,False,True,True
True,False,False,False,False,False,False,True,False,False,False,True,True
False,False,True,False,False,False,False,True,False,False,False,True,True
False,False,True,False,False,False,False,True,False,False,False,True,True
False,False,False,True,False,False,False,False,True,False,False,True,True
False,False,False,True,False,False,False,True,False,False,False,True,True
False,False,False,True,False,False,False,True,False,False,False,True,True
True,False,False,False,False,True,False,True,False,False,False,True,True
True,False,False,False,False,False,False,True,False,False,False,True,True
False,False,True,False,False,False,False,True,False,False,False,True,True
False,False,True,False,False,False,False,True,False,False,False,True,True
False,False,True,False,False,False,False,True,False,False,False,True,True
False,False,True,False,False,False,False,True,False,False,False,True,True
False,True,False,False,False,False,True,False,True,False,False,True,False
False,True,False,False,False,False,True,False,True,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,True,False,True,False,False,True,False
False,True,False,False,False,False,True,False,True,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,True,False,True,False,False,True,False
False,True,False,False,False,False,True,False,True,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,False,False,True,False,False,True,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,True,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,False,False,True,False,False
False,False,False,True,False,False,True,False,False,False,True,False,False
False,False,False,True,False,False,True,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,True,False,False,False,False,True,False
False,False,False,True,False,False,True,False,True,False,False,True,False
False,False,False,True,False,False,True,False,True,False,False,True,False
False,False,False,True,False,False,True,False,True,False,False,True,False
True,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,False,False,True,False,False,False,False,False,True,True
True,False,False,False,False,True,False,False,False,False,False,True,True
True,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,False,False,False,True,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,True,False,True
True,False,False,False,False,False,False,True,False,False,True,False,True
True,False,False,False,False,False,False,False,False,False,True,False,True
True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,True,False,True
True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,True,False,False,False,False,False,True,True
True,False,False,False,False,True,False,False,True,False,False,True,True
True,False,False,False,False,True,False,False,False,False,False,True,True
False,False,False,True,False,True,False,False,True,False,False,True,True
False,False,False,True,False,True,False,False,False,False,False,True,True
False,False,False,True,False,True,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,True,False,False,True,True
False,False,False,True,False,True,False,True,False,False,False,True,True
False,False,False,True,False,False,False,True,False,False,False,True,True
False,False,False,True,False,False,False,True,False,False,False,True,True
False,False,False,True,False,False,False,False,False,False,False,True,True
