no_of_gears,city_mpg,highway_mpg,car_volume,Power_Index,Car_Age,Avg_MPG,displacement,cylinders,hp,torque
6.0,18,25,4044040,16.433578272988516,16,21.5,3.2,6.0,250.0,236.0
6.0,22,28,4044040,13.146862618390813,16,25.0,2.0,4.0,200.0,207.0
6.0,21,30,4044040,13.146862618390813,16,25.5,2.0,4.0,200.0,207.0
6.0,21,28,4044040,13.146862618390813,16,24.5,2.0,4.0,200.0,207.0
6.0,16,27,95914,23.101296463737473,16,21.5,3.2,6.0,265.0,243.0
6.0,17,26,95914,23.101296463737473,16,21.5,3.2,6.0,265.0,243.0
6.0,13,18,8484411,21.938427895304734,16,15.5,4.2,8.0,350.0,325.0
6.0,14,20,8484411,17.550742316243788,16,17.0,3.6,6.0,280.0,266.0
6.0,22,30,479808,16.130088460711054,16,26.0,2.0,4.0,211.0,258.0
6.0,21,27,479808,16.130088460711054,16,24.0,2.0,4.0,211.0,258.0
6.0,17,26,479808,20.258167971983077,16,21.5,3.2,6.0,265.0,243.0
6.0,20,29,942732,20.35395767543088,13,24.5,3.5,6.0,280.0,254.0
6.0,18,26,942732,22.171275325022922,13,22.0,3.7,6.0,305.0,273.0
6.0,12,17,9460344,31.294510966729458,15,14.5,4.4,8.0,507.5,500.0
6.0,12,17,9460344,31.294510966729458,14,14.5,4.4,8.0,507.5,500.0
6.0,12,17,339216,37.19493693794182,15,14.5,4.4,8.0,507.5,500.0
6.0,12,17,339216,37.19493693794182,14,14.5,4.4,8.0,507.5,500.0
5.0,18,25,445984,14.221972833196412,13,21.5,2.9,4.0,185.0,190.0
5.0,18,25,2838080,12.450669540802416,13,21.5,2.9,4.0,185.0,190.0
4.0,18,25,3040800,12.393124768906098,13,21.5,2.9,4.0,185.0,190.0
5.0,18,25,445984,14.221972833196412,14,21.5,2.9,4.0,185.0,190.0
5.0,18,25,2838080,12.450669540802416,14,21.5,2.9,4.0,185.0,190.0
4.0,18,25,3040800,12.393124768906098,14,21.5,2.9,4.0,185.0,190.0
5.0,18,25,445984,14.221972833196412,15,21.5,2.9,4.0,185.0,190.0
5.0,20,26,2838080,12.450669540802416,15,23.0,2.9,4.0,185.0,190.0
4.0,18,25,3040800,12.393124768906098,15,21.5,2.9,4.0,185.0,190.0
4.0,13,18,1011780,22.4195419915801,13,15.5,5.3,8.0,310.0,334.0
4.0,9,12,1011780,22.4195419915801,13,10.5,5.3,8.0,310.0,334.0
4.0,13,17,1011780,22.4195419915801,14,15.0,5.3,8.0,310.0,334.0
4.0,13,17,1011780,22.4195419915801,14,15.0,5.3,8.0,310.0,334.0
6.0,8,12,289080,22.267353898972942,14,10.0,4.8,8.0,280.0,295.0
6.0,8,12,289080,25.76650951166869,14,10.0,6.0,8.0,324.0,373.0
4.0,10,13,322560,24.440148060744217,15,11.5,5.3,8.0,310.0,334.0
4.0,13,17,322560,24.440148060744217,15,15.0,5.3,8.0,310.0,334.0
4.0,15,20,1861398,13.507111990950172,14,17.5,4.3,6.0,195.0,260.0
4.0,14,19,4231200,19.792900154688375,14,16.5,4.8,8.0,302.0,305.0
4.0,15,20,4331175,12.760652977749485,14,17.5,4.3,6.0,195.0,260.0
4.0,15,20,4331175,12.760652977749485,15,17.5,4.3,6.0,195.0,260.0
4.0,15,20,1861398,13.507111990950172,15,17.5,4.3,6.0,195.0,260.0
4.0,14,19,4231200,19.792900154688375,15,16.5,4.8,8.0,302.0,305.0
6.0,18,26,116272,30.007640408199773,14,22.0,3.7,6.0,350.0,276.0
6.0,18,26,136500,29.600593559576772,15,22.0,3.7,6.0,350.0,276.0
6.0,18,26,136500,29.600593559576772,16,22.0,3.7,6.0,350.0,276.0
6.0,21,29,6929832,14.4114665546201,14,25.0,2.5,5.0,227.0,236.0
5.0,21,30,6929832,14.4114665546201,14,25.5,2.5,5.0,227.0,236.0
5.0,21,30,6393595,14.485533124218694,15,25.5,2.5,5.0,227.0,236.0
6.0,21,29,6393595,14.485533124218694,15,25.0,2.5,5.0,227.0,236.0
6.0,9,15,702134,37.19493693794182,15,12.0,6.8,8.0,507.5,552.5
6.0,8,14,2953665,34.06370007667184,13,11.0,6.0,12.0,507.5,552.5
6.0,8,14,3349170,33.77878417633457,13,11.0,6.0,12.0,507.5,552.5
6.0,8,14,2953665,34.06370007667184,14,11.0,6.0,12.0,507.5,552.5
6.0,12,19,2953665,34.06370007667184,15,15.5,6.0,12.0,507.5,552.5
6.0,8,13,3691040,33.56166487931661,13,10.5,6.0,12.0,507.5,479.0
6.0,11,19,3378240,33.75936494924142,13,15.0,6.0,12.0,507.5,552.5
6.0,10,17,5786800,32.59245137780967,14,13.5,6.0,12.0,507.5,552.5
6.0,10,17,5786800,32.59245137780967,15,13.5,6.0,12.0,507.5,552.5
6.0,10,17,6099600,32.482632044976974,15,13.5,6.0,12.0,507.5,479.0
5.0,19,28,36960,21.582832486023534,14,23.5,2.5,5.0,227.0,236.0
6.0,20,28,1204280,16.212672244980993,15,24.0,2.5,5.0,227.0,236.0
5.0,19,28,1204280,16.212672244980993,15,23.5,2.5,5.0,227.0,236.0
5.0,21,29,4950504,10.898475405138324,15,25.0,2.4,5.0,168.0,166.0
5.0,21,30,4950504,14.725916172419046,15,25.5,2.5,5.0,227.0,236.0
5.0,21,30,4950504,14.725916172419046,14,25.5,2.5,5.0,227.0,236.0
6.0,20,27,5468580,14.631445748767382,15,23.5,2.5,5.0,227.0,236.0
6.0,20,30,277704,19.945246821936,13,25.0,2.5,5.0,250.0,266.0
6.0,18,26,277704,23.934296186323202,13,22.0,3.0,6.0,300.0,325.0
6.0,18,26,277704,25.9288208685168,13,22.0,3.0,6.0,325.0,354.0
6.0,18,26,204624,24.531982287289868,14,22.0,3.0,6.0,300.0,325.0
6.0,19,27,3571371,15.906195445956644,14,23.0,3.2,6.0,240.0,236.0
6.0,15,22,3571371,20.611778265385485,15,18.5,4.4,8.0,311.0,325.0
6.0,16,24,3571371,18.623503834640903,15,20.0,3.0,6.0,281.0,295.0
6.0,18,27,3571371,15.57481637416588,15,22.5,3.2,6.0,235.0,236.0
5.0,21,30,6999642,14.402301591696858,14,25.5,2.5,5.0,227.0,236.0
6.0,20,26,7632378,14.323655160112285,15,23.0,2.5,5.0,227.0,236.0
5.0,20,31,6999642,10.658972103106045,15,25.5,2.4,5.0,168.0,166.0
6.0,17,22,322525,23.651958531195973,14,19.5,3.0,6.0,300.0,325.0
6.0,18,25,322525,18.921566824956777,14,21.5,3.2,6.0,240.0,236.0
6.0,16,21,322525,22.154001157553562,15,18.5,3.0,6.0,281.0,295.0
6.0,18,27,322525,18.527367516103514,15,22.5,3.2,6.0,235.0,236.0
6.0,18,25,1047420,17.31371692730229,14,21.5,3.2,6.0,240.0,236.0
6.0,17,22,1047420,21.64214615912786,14,19.5,3.0,6.0,300.0,325.0
6.0,16,21,1047420,20.2714769023831,15,18.5,3.0,6.0,281.0,295.0
6.0,16,22,1047420,16.953014491316825,15,19.0,3.2,6.0,235.0,236.0
5.0,17,23,689472,20.083782374413456,14,20.0,4.0,6.0,270.0,278.0
5.0,17,22,124416,23.015167469672598,14,19.5,4.0,6.0,270.0,278.0
5.0,17,22,2671704,18.245428499013343,14,19.5,4.0,6.0,270.0,278.0
5.0,17,23,689472,20.083782374413456,14,20.0,4.0,6.0,270.0,278.0
5.0,17,22,689472,20.083782374413456,14,19.5,4.0,6.0,270.0,278.0
6.0,16,22,5187000,15.522259773274884,14,19.0,3.2,6.0,240.0,236.0
6.0,14,21,5187000,20.114261622868703,14,17.5,4.4,8.0,311.0,325.0
6.0,15,22,5187000,15.198879361331658,15,18.5,3.2,6.0,235.0,236.0
6.0,13,19,5187000,20.114261622868703,15,16.0,4.4,8.0,311.0,325.0
6.0,18,27,148350,19.735732053468517,15,22.5,3.2,6.0,235.0,236.0
4.0,18,23,689472,11.678347528825602,15,20.5,2.7,4.0,157.0,178.0
5.0,17,23,689472,20.083782374413456,15,20.0,4.0,6.0,270.0,278.0
5.0,17,22,689472,20.083782374413456,15,19.5,4.0,6.0,270.0,278.0
5.0,17,22,2671704,18.245428499013343,15,19.5,4.0,6.0,270.0,278.0
5.0,17,23,689472,20.083782374413456,15,20.0,4.0,6.0,270.0,278.0
5.0,17,22,689472,20.083782374413456,15,19.5,4.0,6.0,270.0,278.0
6.0,21,30,5689684,12.858291929345217,13,25.5,2.0,4.0,200.0,207.0
6.0,17,25,2079360,18.62853918401989,15,21.0,3.5,6.0,271.0,251.0
5.0,21,31,2079360,13.060599427910622,15,26.0,2.4,4.0,190.0,162.0
5.0,22,31,2079360,13.060599427910622,15,26.5,2.4,4.0,190.0,162.0
5.0,21,31,2079360,13.060599427910622,15,26.0,2.4,4.0,190.0,162.0
5.0,19,28,2079360,18.62853918401989,15,23.5,3.5,6.0,271.0,251.0
5.0,22,31,2079360,13.060599427910622,15,26.5,2.4,4.0,190.0,162.0
5.0,21,31,2079360,13.060599427910622,15,26.0,2.4,4.0,190.0,162.0
5.0,22,31,2079360,13.060599427910622,15,26.5,2.4,4.0,190.0,162.0
6.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
7.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
6.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
7.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
